"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-02-26",,,"46",",,0","36",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-02-27",,,"39",",,0","33",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-02-28",,,"39",",,0","22",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-02-29",,,"37",",,0","19",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-03-01",,,"33",",,0","23",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-03-02",,,"31",",,0","16",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-03-03",,,"36",",,0","30",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-03-04",,,"49",",,0","30",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-03-05",,,"41",",,0","30",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-03-06",,,"33",",,0","22",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-03-07",,,"28",",,0","15",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-03-08",,,"34",",,0","17",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-03-09",,,"49",",,0","30",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-03-10",,,"50",",,0","36",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-03-11",,,"45",",,0","37",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-03-12",,,"54",",,0","40",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-03-13",,,"47",",,0","35",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-03-14",,,"47",",,0","34",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-03-15",,,"49",",,0","37",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-03-16",,,"59",",,0","34",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-03-17",,,"63",",,0","44",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-03-18",,,"51",",,0","43",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-03-19",,,"52",",,0","40",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-03-20",,,"58",",,0","40",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-03-21",,,"57",",,0","40",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-03-22",,,"47",",,0","37",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-03-23",,,"58",",,0","38",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-03-24",,,"46",",,0","40",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-03-25",,,"42",",,0","38",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-03-26",,,"57",",,0","40",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-03-27",,,"50",",,0","38",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-03-28",,,"59",",,0","41",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-03-29",,,"68",",,0","38",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-03-30",,,"60",",,0","46",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-03-31",,,"70",",,0","37",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-04-01",,,"48",",,0","33",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-04-02",,,"39",",,0","34",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-04-03",,,"46",",,0","33",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-04-04",,,"46",",,0","29",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-04-05",,,"53",",,0","35",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-04-06",,,"58",",,0","42",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-04-07",,,"47",",,0","38",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-04-08",,,"47",",,0","34",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-04-09",,,"56",",,0","32",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-04-10",,,"42",",,0","38",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-04-11",,,"41",",,0","35",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-04-12",,,"39",",,0","35",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-04-13",,,"46",",,0","36",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-04-14",,,"60",",,0","38",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-04-15",,,"45",",,0","39",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-04-16",,,"52",",,0","38",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-04-17",,,"50",",,0","39",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-04-18",,,"51",",,0","39",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-04-19",,,"54",",,0","39",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-04-20",,,"59",",,0","39",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-04-21",,,"70",",,0","43",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-04-22",,,"51",",,0","37",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-04-23",,,"59",",,0","33",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-04-24",,,"48",",,0","36",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-04-25",,,"51",",,0","32",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-04-26",,,"59",",,0","42",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-04-27",,,"49",",,0","38",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-04-28",,,"59",",,0","37",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-04-29",,,"76",",,0","54",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-04-30",,,"80",",,0","58",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-05-01",,,"77",",,0","58",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-05-02",,,"81",",,0","55",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-05-03",,,"73",",,0","61",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-05-04",,,"61",",,0","44",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-05-05",,,"60",",,0","47",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-05-06",,,"62",",,0","47",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-05-07",,,"65",",,0","50",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-05-08",,,"83",",,0","55",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-05-09",,,"80",",,0","47",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-05-10",,,"50",",,0","44",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-05-11",,,"71",",,0","44",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-05-12",,,"78",",,0","53",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-05-13",,,"81",",,0","57",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-05-14",,,"62",",,0","48",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-05-15",,,"67",",,0","42",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-05-16",,,"56",",,0","34",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-05-17",,,"72",",,0","46",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-05-18",,,"91",",,0","61",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-05-19",,,"78",",,0","58",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-05-20",,,"63",",,0","48",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-05-21",,,"65",",,0","43",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-05-22",,,"58",",,0","42",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-05-23",,,"85",",,0","47",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-05-24",,,"91",",,0","65",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-05-25",,,"79",",,0","59",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-05-26",,,"71",",,0","54",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-05-27",,,"71",",,0","53",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-05-28",,,"64",",,0","49",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-05-29",,,"70",",,0","45",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-05-30",,,"67",",,0","51",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-05-31",,,"72",",,0","48",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-06-01",,,"83",",,0","53",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-06-02",,,"84",",,0","63",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-06-03",,,"83",",,0","63",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-06-04",,,"80",",,0","64",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-06-05",,,"74",",,0","61",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-06-06",,,"74",",,0","59",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-06-07",,,"74",",,0","56",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-06-08",,,"67",",,0","55",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-06-09",,,"67",",,0","55",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-06-10",,,"69",",,0","55",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-06-11",,,"78",",,0","58",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-06-12",,,"72",",,0","59",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-06-13",,,"61",",,0","58",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-06-14",,,"59",",,0","57",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-06-15",,,"62",",,0","57",",,0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","1936-06-16",,,"76",",,0","58",",,0"
